"許可證字號","中文品名","英文品名","形狀","特殊劑型","顏色","特殊氣味","刻痕","外觀尺寸","標註一","標註二","外觀圖檔連結"
"內衛成製字第000075號","""福元""蘇打錠500毫克","SODIUM BICARBONATE TABLETS ""F.Y.""","圓形","","白","","無","8","FY T061",,"https://mcp.fda.gov.tw/insert/shapeImg/e67be591-893d-4f5b-b0f1-9bb7c38014e9?c=o"
"內衛成製字第000386號","建功丸","CHENG KONG PILL","其他","","棕","","無","8",,,"https://mcp.fda.gov.tw/insert/shapeImg/89db57ae-5c85-47b8-9d74-351ecad719e6?c=o"
"內衛成製字第000726號","暮帝納斯腹瀉整腸錠","BOTERASU TABLETS FOR DIARRHEA AND INTESTINAL DISEASES","圓形","","黃","","無","8","T",,"https://mcp.fda.gov.tw/insert/shapeImg/8596ebb8-899f-421c-8b68-36843f7b03ca?c=o"
"內衛成製字第001331號","〝金葫蘆〞消化固胃散","DIGESTIVE STOMACH POWDER ""JIN HWU RO""","顆粒劑、粉劑或散劑","","棕","","無",,,,"https://mcp.fda.gov.tw/insert/shapeImg/431e2827-8b2e-4114-a7e9-2b5a5d163350?c=o"
"內衛成製字第001725號","消化保胃散","Shiau Hauh Bao Wey Powder","顆粒劑、粉劑或散劑;;;顆粒劑、粉劑或散劑","","棕;;;棕","","無;;;無",,,,"https://mcp.fda.gov.tw/insert/shapeImg/2cd61785-6a75-4e6b-a9ad-5f8d906ed79e_img_1?c=o;;;https://mcp.fda.gov.tw/insert/shapeImg/37fdac30-b740-496f-a972-3be2d0cc205e_img_1?c=o"
"內衛藥製字第000055號","暈速寧片","BET TABLETS","圓形","","橘","","無","7",,,"https://mcp.fda.gov.tw/insert/shapeImg/7d771874-4de3-430f-9d6b-52d1883fccf9?c=o"
"內衛藥製字第000102號","攸汝琳路必淨糖衣錠100毫克","UROPRIN SUGAR COATED TABLETS 100MG","圓形","","黑","","無","9.6",,,"https://mcp.fda.gov.tw/insert/shapeImg/228e3f11-c89c-4f6b-ac37-221a68d87a79?c=o"
"內衛藥製字第000107號","敏的膠囊","BETTY CAPSULES","膠囊","","藍;;;透明","","無","14.2","YSP BTCp",,"https://mcp.fda.gov.tw/insert/shapeImg/7db76132-0169-40a8-a683-659a239a023e?c=o"
"內衛藥製字第000140號","""強生"" 易克痛膜衣錠","ERGOTON FILM COATED TABLETS ""JOHNSON""","圓形","","黃","","無","8","m",,"https://mcp.fda.gov.tw/insert/shapeImg/c41a6341-709e-4dee-9407-c7ea432f8440?c=o"
"內衛藥製字第000141號","恆克利片","HYCHLOZIDE TABLETS","圓形","","白","","直線","7.2",,,"https://mcp.fda.gov.tw/insert/shapeImg/78ab68ff-a16e-43e3-8813-ec0d8ed304b5?c=o"
"內衛藥製字第000162號","""強生""蘋果酸氯芬尼拉明錠4毫克","CHLORPHENIRAMINE MALEATE TABLETS 4MG ""JOHNSON""","六邊形","","白","","直線","7.8",,,"https://mcp.fda.gov.tw/insert/shapeImg/f2ec8164-0afc-4e46-a759-8f72e5287ecb?c=o"
"內衛藥製字第000164號","異菸生僉醯月井錠","ISONIAZIDE TABLETS","圓形","","白","","無","7.2",,,"https://mcp.fda.gov.tw/insert/shapeImg/1405fca6-4d8e-432d-99e0-d3a0b339406d?c=o"
"內衛藥製字第000258號","""強生""倍樂寧膠囊","PELONINE CAPSULES ""JOHNSON""","膠囊;;;膠囊","","藍;;;白;;;藍;;;白","","無;;;無","15;;;15",,,"https://mcp.fda.gov.tw/insert/shapeImg/0ebf243e-1fbf-488f-8f62-ce152e36b9d8?c=o;;;https://mcp.fda.gov.tw/insert/shapeImg/e0824299-63c0-4c47-9701-a21d47c6eaf3?c=o"
"內衛藥製字第000261號","""強生""通便樂腸溶錠","JOHNLAX ENTERIC COATED TABLETS ""JOHNSON""","圓形","","黃","","無","7",,,"https://mcp.fda.gov.tw/insert/shapeImg/138dfeef-045f-49ab-b557-7fef72451ad9?c=o"
"內衛藥製字第000278號","""強生""克僂強錠","DEXAZONE TABLETS ""JOHNSON""","圓形","","黃","","直線","6","I 15","JCP","https://mcp.fda.gov.tw/insert/shapeImg/2412e72e-954d-4637-a05b-22a864125d49?c=o"
"內衛藥製字第000286號","""強生""筋弛能錠","KINZANONE TABLETS ""JOHNSON""","橢圓形","","綠","","直線","11",,,"https://mcp.fda.gov.tw/insert/shapeImg/85794476-d369-46ec-ad6a-03892cb85dbc?c=o"
"內衛藥製字第000288號","""強生""維他命B1錠100毫克","VITAMIN B1 TABLETS 100MG ""JOHNSON""","圓形","","白","","無","8","100",,"https://mcp.fda.gov.tw/insert/shapeImg/e6937e06-87ff-44a7-a4e9-22f2c928dd73?c=o"
"內衛藥製字第000373號","固胃必朗錠","EAPILONE TABLETS","圓形","","綠","","無","12.7","YSP",,"https://mcp.fda.gov.tw/insert/shapeImg/d9db29ff-6de0-4c58-ae14-70a21b870e70?c=o"
"內衛藥製字第000394號","""強生""血管淨錠","HEXAZIN TABLETS ""JOHNSON""","圓形","","粉","","直線","9.5",,,"https://mcp.fda.gov.tw/insert/shapeImg/51534d1c-298c-49c6-98f4-3fdbaf76d09e?c=o"
"內衛藥製字第000482號","喉克片","HOUK TABLETS","其他","","綠","","無","19","MEYSEE MEYSEE",,"https://mcp.fda.gov.tw/insert/shapeImg/c0bbb47d-deed-4023-9db3-6df6df1519d5_img_1?c=o;;;https://mcp.fda.gov.tw/insert/shapeImg/d5706990-b47d-4134-a4a5-b6c5f3d1c3ec?c=o"
"內衛藥製字第000711號","普力多寧錠","PREDONINE TABLETS","圓形","","白;;;白","","無","9","341","5","https://mcp.fda.gov.tw/insert/shapeImg/66931a12-17d3-4bbf-8dea-205e79760658?c=o"
